title,year,summary,short_summary,genres,imdb_id,youtube_trailer,rating,director,cast
patton oswalt: annihilation,2017,"Patton Oswald, despite a personal tragedy, produces his best standup yet. Focusing on the tribulations of the Trump era and life after the loss of a loved one, Patton Oswald continues his journey to contribute joy to the world.",patton oswalt despite personal tragedy produce best standup yet focusing tribulation trump era life loss loved one oswalt continues journey contribute joy world,uncategorized,tt7026230,4hZi5QaMBFc,7.4,Bobcat Goldthwait,uncategorized
new york doll,2005,"A recovering alcoholic and recently converted Mormon, Arthur ""Killer"" Kane, of the rock band The New York Dolls, is given a chance at reuniting with his band after 30 years.",recovering alcoholic recently converted mormon arthur quot killer quot kane rock band new york doll given chance reuniting band year,documentary music,tt0436629,jwD04NsnLLg,7.9,Greg Whiteley,documentary music
mickey's magical christmas: snowed in at the house of mouse,2001,"After everyone is snowed in at the House of Mouse, Mickey suggests they throw their own Christmas party. Everyone is happy, except for Donald who just isn't in to the Christmas spirit. So Mickey shows a series of cartoons that show just what Christmas is all about. It features a star studded cast of Disney characters from everyone's favorite animated Disney movies.",mickey friend hold christmas party house mouse snowed,adventure animation comedy family fantasy,tt0300195,uCKwHHftrU4,6.8,Tony Craig,adventure animation comedy family fantasy
mickey's house of villains,2001,"The villains from the popular animated Disney films are gathered at the House of Mouse with plans to take over. Soon, the villains take over the house and kick out Mickey, Donald and Goofy. It's all up to Mickey and his friends to overthrow evil and return the House of Mouse to normal--or as close to normal as it get's.",villain popular animated disney film gathered house mouse plan take soon villain take house kick mickey donald goofy,animation comedy family fantasy horror,tt0329374,JA03ciYt-Ek,6.6,Jamie Mitchell,animation comedy family fantasy horror
and then i go,2017,"In the cruel world of junior high, Edwin suffers in a state of anxiety and alienation alongside his only friend, Flake. Misunderstood by their families and demoralized at school daily, their fury simmers quietly until an idea for vengeance offers them a terrifying release. Based on the acclaimed novel ""Project X"" by Jim Shepard, this unflinching look at adolescence explores how the powerful bonds of childhood friendship and search for belonging can become a matter of life or death.",cruel world junior high edwin suffers state anxiety alienation alongside friend flake misunderstood family demoralized school daily,drama,tt2018111,8CdIiD6-iF0,7.6,Vincent Grashaw,drama
an extremely goofy movie,2000,"It's a big time in Max's life. He's college bound with his friends and finally free of his embarrassing father as he strives to be a top contender for the X-Games. Unfortunately, Goofy loses his job and learns that he cannot get another job without a college degree. To his son's mortification, Goofy decides to join him in his campus to get that degree. Desperate to distract his father, Max talks him into joining the competing Gamma Fraternity team and introduces him to a wonderful librarian who shares his nostalgic love for 1970's pastimes. Unfortunately, things do not go according to plan as events put this father-son relationship to the test.",max go college embarassment father loses job go son campus,animation comedy family sport,tt0208185,H8oSvldAGfg,6.4,Douglas McCarthy,animation comedy family sport
peter rabbit,2018,"Based on the books by Beatrix Potter: Peter Rabbit (James Corden;) his three sisters: Flopsy (Margot Robbie,) Mopsy (Elizabeth Debicki) and Cotton Tail (Daisy Ridley) and their cousin Benjamin (Colin Moody) enjoy their days harassing Mr McGregor in his vegetable garden. Until one day he dies and no one can stop them roaming across his house and lands for a full day or so. However, when one of Mr McGregor's relatives inherits the house and goes to check it out, he finds much more than he bargained for. What ensues, is a battle of wills between the new Mr McGregor and the rabbits. But when he starts to fall in love with Bea (Rose Byrne,) a real lover of all nature, his feelings towards them begin to change. But is it too late?",feature adaptation beatrix potter classic tale rebellious rabbit trying sneak farmer vegetable garden,adventure animation comedy family fantasy,tt5117670,7Pa_Weidt08,6.6,Will Gluck,adventure animation comedy family fantasy
love songs,2007,"Julie's boyfriend Ismaël lives with her; rather than worry about the time he spends with his colleague Alice, Julie invites Alice to join them. The three walk the streets of Paris, party, read, and sleep together. Sometimes it's lighthearted, sometimes there are jealousies. Then death strikes. In various ways, those left come to terms with the departure and absence of a loved one: showing concern, eating together, attempting new relationships, trying to ""be there"" for the other. Then, the spirit returns and new commitments are possible. The romantic elements of musical comedy play in contrast to the ambivalence of the lyrics and the story.",musical interpretation three lover living paris,uncategorized,tt0996605,s54vpKAFmS0,7.2,Christophe Honoré,uncategorized
89,2017,"89 tells the incredible story of one of football's greatest triumphs: when against all odds Arsenal snatched the Championship title from Liverpool at Anfield in the last minute of the last game of the 1988/89 season. It's a universal tale of a band of brothers who, led by a charismatic and deeply respected manager, came together to defy the odds and create history. Mixing archive and previously unseen footage with revealing interviews, insights and memories from the original squad, game officials, famous fans and the people who were there on the night this is the definitive account of a watershed moment in football and a must-watch for any sports fan.",true story sporting miracle arsenal went anfield last day 1988 season needing beat best team england two clear goal snatch title,uncategorized,tt7614404,5hfAExhHTMM,8.1,Dave Stewart,uncategorized
the foster boy,2011,"The illegitimate orphan child, 12-year-old Max, is sold by the local minister for a basket of food to the Bösiger family, who own a mountain farm. Max' initial hope of finally finding a loving home is brutally shattered: The farmer and his wife treat Max like livestock, and their son Jacob humiliates and abuses him. Only the local teacher notices the child suffering on the farm.",swiss german rural peasant family take max crude year old boy foster situation constant bullying soon foster girl added mix,drama,tt2057931,E9Qv_XVJ-js,7.4,Markus Imboden,drama
forever my girl,2018,After being gone for a decade a country star returns home to the love he left behind.,gone decade country star return home love left behind,drama music romance,tt4103724,3vqcMr1q5Uc,6.4,Bethany Ashton Wolf,drama music romance
tom segura: disgraceful,2018,Comedian Tom Segura rants about funny things about pop culture and the way of living in 2018.,comedian tom segura rant funny thing pop culture way living 2018,comedy documentary,tt7379330,kYYINJM3lPA,7.5,Jay Karas,comedy documentary
secrets in the fall,2015,"Nothing is impossible for a group of young campers, friends and enemies alike, on a weekend retreat at Camp Pinnacle. But what starts as an exciting wilderness adventure turns into trouble when a young camper goes missing and the rest of the group must set out to find him. The campers are forced to overcome their differences and band together to re-claim their weekend and make it out of the woods before dark!",nothing impossible group young camper friend enemy alike weekend retreat camp pinnacle start exciting wilderness adventure turn trouble,family,tt2522908,eMVw1pHVMAw,7.3,Brittany Goodwin,family
silent night,2017,Adam unexpectedly visits his family house at Christmas after a few years of working abroad. No family member knows about his secret plans and the real reasons of his visit.,adam unexpectedly visit family house christmas year working abroad family member know secret plan real reason visit,comedy drama,tt7133554,cA6BUYVkQoE,7.5,Piotr Domalewski,comedy drama
suicide squad: hell to pay,2018,Task Force X targets a powerful mystical object that they will risk their lives to steal.,task force target powerful mystical object risk life steal,action animation,tt7167602,EPZZvk-wbGE,7.2,Sam Liu,action animation
wildling,2018,"Anna spends her entire childhood under the care of a mysterious man she only knows as Daddy. He keeps her locked in an attic making her fear the Wildling, a child-eating monster that roams the outside. At age 16, Anna is freed by small-town sheriff Ellen Cooper who helps her start a new life as a normal teenager. But as Anna's body begins to blossom, her childhood nightmares return with a vengeance, leading to the conclusion of a terrifying secret.",blossoming teenager uncovers dark secret behind traumatic childhood,fantasy horror,tt5085924,eyl1Wf90AgY,6.1,Fritz Böhm,fantasy horror
the humanity bureau,2017,A dystopian thriller set in the year 2030 that sees the world in a permanent state of economic recession and facing serious environmental problems as a result of global warming.,dystopian thriller set year 2030 see world permanent state economic recession facing serious environmental problem result global warming,action sci-fi,tt6143568,kUH8JGhRzPY,6.1,Rob W. King,action sci-fi
don't talk to irene,2017,"Irene must endure 2 weeks of community service at a retirement home. Following her passion for cheerleading, she secretly signs up the senior residents to audition for a dance-themed reality show to prove that you don't need to be physically ""perfect"" to be perfectly AWESOME.",irene must endure week community service retirement home following passion cheerleading secretly sign senior resident audition dance themed,comedy,tt5030452,lK48UxWuUho,6.4,Pat Mills,comedy
